sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
116,1782079210.3513918,0.060002,1358,1.6577
117,1782079210.3514411,0.060052,1353,1.6516
118,1782079210.3514652,0.060076,1357,1.6565
119,1782079210.3515198,0.060130,1353,1.6516
120,1782079210.352321,0.060931,1351,1.6492
121,1782079210.353164,0.061774,1354,1.6528
122,1782079210.353218,0.061829,1346,1.6431
123,1782079210.3533883,0.061999,1337,1.6321
124,1782079210.3538554,0.062466,1341,1.6370
125,1782079210.3548815,0.063492,1340,1.6357
126,1782079210.355116,0.063726,1339,1.6345
127,1782079210.3553476,0.063958,1333,1.6272
128,1782079210.3563678,0.064978,1336,1.6309
129,1782079210.3564394,0.065050,1340,1.6357
130,1782079210.3568604,0.065471,1336,1.6309
131,1782079210.3574839,0.066094,1331,1.6248
132,1782079210.3578613,0.066472,1341,1.6370
133,1782079210.358436,0.067047,1334,1.6284
134,1782079210.3589451,0.067556,1336,1.6309
135,1782079210.359431,0.068042,1343,1.6394
136,1782079210.359931,0.068542,1343,1.6394
137,1782079210.3603537,0.068964,1342,1.6382
138,1782079210.3609068,0.069517,1350,1.6479
139,1782079210.3614488,0.070059,1349,1.6467
140,1782079210.3619473,0.070558,1352,1.6504
141,1782079210.3623703,0.070981,1351,1.6492
142,1782079210.3628812,0.071492,1350,1.6479
143,1782079210.363383,0.071994,1349,1.6467
144,1782079210.3638935,0.072504,1353,1.6516
145,1782079210.3644059,0.073016,1351,1.6492
146,1782079210.364951,0.073561,1355,1.6541
147,1782079210.365416,0.074027,1351,1.6492
148,1782079210.3659308,0.074541,1350,1.6479
149,1782079210.3664565,0.075067,1349,1.6467
150,1782079210.3669405,0.075551,1347,1.6443
151,1782079210.3678412,0.076452,1352,1.6504
152,1782079210.3679376,0.076548,1348,1.6455
153,1782079210.3684874,0.077098,1350,1.6479
154,1782079210.3689096,0.077520,1344,1.6406
155,1782079210.380282,0.088892,1340,1.6357
156,1782079210.3821933,0.090804,1339,1.6345
157,1782079210.383047,0.091658,1329,1.6223
158,1782079210.3831286,0.091739,1334,1.6284
159,1782079210.383729,0.092340,1327,1.6199
160,1782079210.383781,0.092391,1327,1.6199
161,1782079210.3842666,0.092877,1325,1.6174
162,1782079210.3843188,0.092929,1323,1.6150
163,1782079210.384799,0.093410,1320,1.6113
164,1782079210.3848515,0.093462,1319,1.6101
165,1782079210.3852935,0.093904,1319,1.6101
166,1782079210.3853366,0.093947,1317,1.6077
167,1782079210.3896053,0.098216,1315,1.6052
168,1782079210.3897872,0.098398,1321,1.6125
169,1782079210.389947,0.098557,1317,1.6077
170,1782079210.3900435,0.098654,1326,1.6187
171,1782079210.3901427,0.098753,1318,1.6089
172,1782079210.390235,0.098845,1322,1.6138
173,1782079210.3903718,0.098982,1323,1.6150
174,1782079210.3904755,0.099086,1321,1.6125
175,1782079210.3905828,0.099193,1321,1.6125
176,1782079210.390618,0.099229,1329,1.6223
177,1782079210.3906431,0.099254,1320,1.6113
178,1782079210.3907192,0.099330,1326,1.6187
179,1782079210.3908072,0.099418,1331,1.6248
180,1782079210.3942342,0.102845,1332,1.6260
181,1782079210.394299,0.102910,1330,1.6235
