sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
116,1782079237.8167315,0.059474,1352,1.6504
117,1782079237.8167725,0.059515,1349,1.6467
118,1782079237.8168309,0.059573,1351,1.6492
119,1782079237.8172035,0.059946,1353,1.6516
120,1782079237.817954,0.060696,1359,1.6589
121,1782079237.8181875,0.060930,1357,1.6565
122,1782079237.8186827,0.061425,1357,1.6565
123,1782079237.8191938,0.061936,1359,1.6589
124,1782079237.819683,0.062425,1363,1.6638
125,1782079237.8201923,0.062934,1364,1.6650
126,1782079237.8207176,0.063460,1367,1.6687
127,1782079237.8211966,0.063939,1370,1.6724
128,1782079237.8217115,0.064454,1371,1.6736
129,1782079237.8221917,0.064934,1372,1.6748
130,1782079237.8227093,0.065451,1374,1.6772
131,1782079237.8232095,0.065952,1379,1.6833
132,1782079237.8237092,0.066451,1383,1.6882
133,1782079237.824218,0.066960,1382,1.6870
134,1782079237.8247125,0.067455,1385,1.6907
135,1782079237.82527,0.068012,1383,1.6882
136,1782079237.8257246,0.068467,1382,1.6870
137,1782079237.8262236,0.068966,1383,1.6882
138,1782079237.8292327,0.071975,1388,1.6943
139,1782079237.8345194,0.077261,1384,1.6895
140,1782079237.834688,0.077430,1379,1.6833
141,1782079237.8368423,0.079584,1379,1.6833
142,1782079237.8368797,0.079622,1378,1.6821
143,1782079237.8373492,0.080091,1373,1.6760
144,1782079237.8373826,0.080125,1369,1.6711
145,1782079237.8374064,0.080148,1364,1.6650
146,1782079237.8374307,0.080173,1361,1.6614
147,1782079237.8378508,0.080593,1366,1.6675
148,1782079237.8378856,0.080628,1359,1.6589
149,1782079237.838295,0.081037,1358,1.6577
150,1782079237.8383267,0.081069,1348,1.6455
151,1782079237.8387132,0.081455,1351,1.6492
152,1782079237.8387434,0.081486,1349,1.6467
153,1782079237.839129,0.081871,1354,1.6528
154,1782079237.8391564,0.081898,1349,1.6467
155,1782079237.842186,0.084928,1352,1.6504
156,1782079237.842349,0.085091,1350,1.6479
157,1782079237.8424103,0.085152,1353,1.6516
158,1782079237.842471,0.085213,1352,1.6504
159,1782079237.8425288,0.085271,1352,1.6504
160,1782079237.8425705,0.085313,1355,1.6541
161,1782079237.8426058,0.085348,1352,1.6504
162,1782079237.842649,0.085391,1359,1.6589
163,1782079237.8426838,0.085426,1353,1.6516
164,1782079237.8427372,0.085479,1359,1.6589
165,1782079237.8450372,0.087779,1353,1.6516
166,1782079237.8455973,0.088339,1364,1.6650
167,1782079237.8456454,0.088387,1359,1.6589
168,1782079237.845693,0.088435,1367,1.6687
169,1782079237.8457322,0.088474,1366,1.6675
170,1782079237.845755,0.088497,1371,1.6736
171,1782079237.845783,0.088525,1372,1.6748
172,1782079237.8458312,0.088573,1372,1.6748
173,1782079237.8458617,0.088604,1371,1.6736
174,1782079237.8463519,0.089094,1371,1.6736
175,1782079237.846383,0.089125,1368,1.6699
176,1782079237.8464239,0.089166,1367,1.6687
177,1782079237.8464487,0.089191,1369,1.6711
178,1782079237.847123,0.089865,1368,1.6699
179,1782079237.8472948,0.090037,1371,1.6736
180,1782079237.8480246,0.090767,1364,1.6650
181,1782079237.8483086,0.091051,1365,1.6663
182,1782079237.8491251,0.091867,1366,1.6675
183,1782079237.8492548,0.091997,1360,1.6602
184,1782079237.8498113,0.092553,1356,1.6553
185,1782079237.8505585,0.093301,1366,1.6675
186,1782079237.8510978,0.093840,1355,1.6541
187,1782079237.8537858,0.096528,1355,1.6541
188,1782079237.8538282,0.096570,1356,1.6553
189,1782079237.8538723,0.096614,1358,1.6577
190,1782079237.853903,0.096645,1354,1.6528
191,1782079237.8539374,0.096679,1358,1.6577
192,1782079237.8539786,0.096721,1351,1.6492
193,1782079237.8542426,0.096985,1350,1.6479
194,1782079237.8548775,0.097620,1350,1.6479
195,1782079237.855621,0.098363,1354,1.6528
196,1782079237.8557396,0.098482,1354,1.6528
197,1782079237.8562858,0.099028,1349,1.6467
198,1782079237.8570821,0.099824,1353,1.6516
199,1782079237.8572748,0.100017,1348,1.6455
200,1782079237.8577814,0.100523,1358,1.6577
201,1782079237.8582835,0.101026,1354,1.6528
202,1782079237.8588016,0.101544,1358,1.6577
203,1782079237.859281,0.102023,1360,1.6602
204,1782079237.859791,0.102533,1357,1.6565
205,1782079237.8602912,0.103033,1361,1.6614
206,1782079237.8608012,0.103543,1360,1.6602
207,1782079237.8612893,0.104031,1363,1.6638
208,1782079237.8618069,0.104549,1366,1.6675
209,1782079237.862308,0.105050,1362,1.6626
210,1782079237.8627996,0.105542,1369,1.6711
211,1782079237.8632946,0.106037,1364,1.6650
212,1782079237.8637886,0.106531,1363,1.6638
213,1782079237.8643644,0.107106,1366,1.6675
214,1782079237.864792,0.107534,1361,1.6614
215,1782079237.8657777,0.108520,1363,1.6638
216,1782079237.8658812,0.108623,1362,1.6626
217,1782079237.8663063,0.109048,1358,1.6577
218,1782079237.8668082,0.109550,1362,1.6626
219,1782079237.8672943,0.110036,1366,1.6675
220,1782079237.867802,0.110544,1365,1.6663
221,1782079237.8690321,0.111774,1364,1.6650
222,1782079237.8764627,0.119205,1363,1.6638
223,1782079237.8765266,0.119269,1357,1.6565
224,1782079237.8770423,0.119784,1363,1.6638
225,1782079237.8774605,0.120203,1359,1.6589
226,1782079237.877494,0.120236,1360,1.6602
227,1782079237.877934,0.120676,1357,1.6565
228,1782079237.877965,0.120707,1347,1.6443
229,1782079237.87836,0.121102,1351,1.6492
230,1782079237.8787785,0.121521,1345,1.6418
231,1782079237.8788142,0.121556,1346,1.6431
232,1782079237.8818848,0.124627,1340,1.6357
233,1782079237.8819594,0.124701,1343,1.6394
234,1782079237.881991,0.124733,1343,1.6394
235,1782079237.8820248,0.124767,1342,1.6382
236,1782079237.8820531,0.124795,1348,1.6455
237,1782079237.8845375,0.127280,1346,1.6431
238,1782079237.8846035,0.127346,1342,1.6382
239,1782079237.885135,0.127877,1342,1.6382
240,1782079237.8851938,0.127936,1339,1.6345
241,1782079237.8856854,0.128428,1346,1.6431
242,1782079237.885758,0.128500,1349,1.6467
243,1782079237.885791,0.128533,1350,1.6479
244,1782079237.8858204,0.128562,1350,1.6479
245,1782079237.8858485,0.128591,1349,1.6467
246,1782079237.8864658,0.129208,1342,1.6382
247,1782079237.8870003,0.129742,1348,1.6455
248,1782079237.8870673,0.129809,1350,1.6479
249,1782079237.8871138,0.129856,1356,1.6553
250,1782079237.8871605,0.129903,1354,1.6528
251,1782079237.8871932,0.129935,1356,1.6553
252,1782079237.8878655,0.130608,1356,1.6553
253,1782079237.8879292,0.130671,1356,1.6553
254,1782079237.8879726,0.130715,1357,1.6565
255,1782079237.8886309,0.131373,1357,1.6565
256,1782079237.8892462,0.131988,1354,1.6528
257,1782079237.889371,0.132113,1358,1.6577
258,1782079237.8894038,0.132146,1356,1.6553
259,1782079237.8894343,0.132176,1350,1.6479
260,1782079237.88991,0.132652,1353,1.6516
261,1782079237.8899708,0.132713,1345,1.6418
262,1782079237.8900056,0.132748,1343,1.6394
263,1782079237.8926237,0.135366,1343,1.6394
264,1782079237.8926733,0.135415,1345,1.6418
265,1782079237.8927157,0.135458,1346,1.6431
266,1782079237.8927453,0.135487,1344,1.6406
267,1782079237.8927708,0.135513,1341,1.6370
268,1782079237.8928008,0.135543,1336,1.6309
269,1782079237.892847,0.135589,1345,1.6418
270,1782079237.892895,0.135637,1346,1.6431
271,1782079237.8945343,0.137276,1342,1.6382
272,1782079237.8946064,0.137348,1341,1.6370
273,1782079237.8946412,0.137383,1335,1.6296
274,1782079237.8948994,0.137641,1335,1.6296
275,1782079237.8956716,0.138414,1343,1.6394
276,1782079237.8958697,0.138612,1340,1.6357
277,1782079237.8964484,0.139190,1337,1.6321
278,1782079237.8969114,0.139653,1347,1.6443
279,1782079237.8975012,0.140243,1340,1.6357
280,1782079237.897965,0.140707,1342,1.6382
281,1782079237.8984919,0.141234,1347,1.6443
282,1782079237.8989413,0.141683,1350,1.6479
283,1782079237.899462,0.142204,1345,1.6418
284,1782079237.8999033,0.142645,1346,1.6431
285,1782079237.9004705,0.143213,1349,1.6467
286,1782079237.9009833,0.143725,1351,1.6492
287,1782079237.9014084,0.144150,1350,1.6479
288,1782079237.9019613,0.144703,1351,1.6492
289,1782079237.902482,0.145224,1357,1.6565
290,1782079237.9029863,0.145728,1363,1.6638
291,1782079237.9039285,0.146671,1365,1.6663
292,1782079237.9039984,0.146740,1361,1.6614
293,1782079237.9044647,0.147207,1362,1.6626
294,1782079237.9049513,0.147693,1363,1.6638
295,1782079237.911227,0.153969,1364,1.6650
296,1782079237.9135163,0.156258,1364,1.6650
297,1782079237.9143472,0.157089,1355,1.6541
298,1782079237.9145303,0.157272,1356,1.6553
299,1782079237.9186196,0.161362,1359,1.6589
300,1782079237.9186823,0.161424,1349,1.6467
301,1782079237.9187343,0.161476,1344,1.6406
302,1782079237.9187813,0.161523,1345,1.6418
