sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
116,1782079180.2857635,0.061113,1435,1.7517
117,1782079180.2858517,0.061201,1440,1.7578
118,1782079180.2858748,0.061224,1440,1.7578
119,1782079180.2859068,0.061256,1451,1.7712
120,1782079180.2859313,0.061281,1445,1.7639
121,1782079180.2859538,0.061303,1448,1.7676
122,1782079180.286254,0.061604,1449,1.7688
123,1782079180.288205,0.063555,1457,1.7786
124,1782079180.2882788,0.063628,1456,1.7773
125,1782079180.2883148,0.063664,1452,1.7725
126,1782079180.2883475,0.063697,1453,1.7737
127,1782079180.2887766,0.064126,1456,1.7773
128,1782079180.2897694,0.065119,1451,1.7712
129,1782079180.289824,0.065174,1452,1.7725
130,1782079180.290433,0.065783,1448,1.7676
131,1782079180.2907755,0.066125,1453,1.7737
132,1782079180.2913198,0.066669,1445,1.7639
133,1782079180.2918122,0.067162,1453,1.7737
134,1782079180.2923036,0.067653,1447,1.7664
135,1782079180.2928822,0.068232,1457,1.7786
136,1782079180.2933068,0.068656,1450,1.7700
137,1782079180.2937307,0.069080,1458,1.7798
138,1782079180.2942266,0.069576,1452,1.7725
139,1782079180.2948031,0.070153,1456,1.7773
140,1782079180.295321,0.070671,1454,1.7749
141,1782079180.2957945,0.071144,1455,1.7761
142,1782079180.2962375,0.071587,1453,1.7737
143,1782079180.296739,0.072089,1456,1.7773
144,1782079180.2972248,0.072574,1447,1.7664
145,1782079180.2977607,0.073110,1451,1.7712
146,1782079180.2983134,0.073663,1450,1.7700
147,1782079180.2987957,0.074145,1448,1.7676
148,1782079180.2993486,0.074698,1445,1.7639
149,1782079180.3000867,0.075436,1449,1.7688
150,1782079180.3002748,0.075624,1447,1.7664
151,1782079180.3008118,0.076161,1448,1.7676
152,1782079180.30127,0.076620,1446,1.7651
153,1782079180.3020155,0.077365,1448,1.7676
154,1782079180.3092442,0.084594,1445,1.7639
155,1782079180.3119054,0.087255,1447,1.7664
156,1782079180.311988,0.087338,1445,1.7639
157,1782079180.3120096,0.087359,1450,1.7700
158,1782079180.3120341,0.087384,1449,1.7688
159,1782079180.3132553,0.088605,1451,1.7712
160,1782079180.3133721,0.088722,1448,1.7676
161,1782079180.3134196,0.088769,1455,1.7761
162,1782079180.3134649,0.088814,1448,1.7676
163,1782079180.3135028,0.088852,1455,1.7761
164,1782079180.3144,0.089750,1451,1.7712
165,1782079180.3145049,0.089854,1456,1.7773
166,1782079180.3145676,0.089917,1456,1.7773
167,1782079180.314593,0.089943,1460,1.7822
168,1782079180.315221,0.090571,1463,1.7859
169,1782079180.3180292,0.093379,1461,1.7834
170,1782079180.318106,0.093456,1461,1.7834
171,1782079180.3181267,0.093476,1462,1.7847
172,1782079180.318154,0.093504,1463,1.7859
173,1782079180.318181,0.093531,1464,1.7871
174,1782079180.3182888,0.093638,1457,1.7786
175,1782079180.3183703,0.093720,1463,1.7859
176,1782079180.3183925,0.093742,1457,1.7786
177,1782079180.318418,0.093768,1458,1.7798
178,1782079180.3184407,0.093790,1459,1.7810
179,1782079180.3184924,0.093842,1455,1.7761
180,1782079180.3206553,0.096005,1457,1.7786
181,1782079180.3207068,0.096056,1455,1.7761
182,1782079180.320739,0.096089,1450,1.7700
183,1782079180.3207607,0.096110,1451,1.7712
184,1782079180.3212025,0.096552,1451,1.7712
185,1782079180.3214173,0.096767,1447,1.7664
186,1782079180.3214436,0.096793,1449,1.7688
187,1782079180.321462,0.096812,1454,1.7749
188,1782079180.3214788,0.096828,1444,1.7627
189,1782079180.321501,0.096851,1449,1.7688
190,1782079180.3220274,0.097377,1443,1.7615
191,1782079180.3220744,0.097424,1451,1.7712
192,1782079180.3221018,0.097451,1443,1.7615
193,1782079180.3221517,0.097501,1444,1.7627
194,1782079180.322668,0.098018,1441,1.7590
195,1782079180.3228354,0.098185,1449,1.7688
196,1782079180.3238378,0.099187,1445,1.7639
197,1782079180.3238845,0.099234,1454,1.7749
198,1782079180.3243754,0.099725,1448,1.7676
199,1782079180.3249383,0.100288,1449,1.7688
200,1782079180.3255475,0.100897,1449,1.7688
